supergfxctl 5.2.7-2
swaync 0.12.6-1.1
swayosd 0.3.1-1.1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
tesseract 5.5.2-1.1
tesseract-data-eng 2:4.1.0-5
texinfo 7.3-1.1
tlp 1.10.0-1
tlp-rdw 1.10.0-1
tree 2.3.2-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-firacode-nerd 3.4.0-2
ttf-google-sans 1-4
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-opensans 3.003-1
ttf-roboto 3.015-1
tumbler 4.20.1-1.1
udiskie 2.6.2-1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uv 0.11.12-1.1
uwsm 0.26.4-1
vim 9.2.0450-1.1
visual-studio-code-bin 1.119.0-1
vlc 3.0.22-3.1
vlc-plugins-all 3.0.22-3.1
vpl-gpu-rt 26.1.5-1.1
vulkan-icd-loader 1.4.341.0-1.1
vulkan-intel 2:26.1.0-1
warp-terminal-bin 0.2026.05.06.15.42.stable_03-1
waybar 0.15.0-2.1
waybar-updates 0.6.0-1
wev 1.1.0-1.1
wget 1.25.0-3.1
which 2.23-1.1
wine-gecko 2.47.4-2
wine-mono 11.1.0-1.1
wireplumber 0.5.14-1.1
wl-clip-persist 0.5.0-2.1
wlogout 1.2.2-0
woff2-font-awesome 7.2.0-1
wpa_supplicant 2:2.11-5.1
xclip 0.13-6.1
xdg-desktop-portal-hyprland 1.3.12-2.1
xdg-user-dirs 0.20-1.1
xfsprogs 6.19.0-1.1
xl2tpd 1.3.20-1.1
xsettingsd 1.0.2-3.1
yay 12.5.7-1
zen-browser-bin 1.19.12b-1
